demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
12,2,218.85776293262637,10.0,6.0,6.0,8.0,12.0,-30.13421436733676,-7.777899159272933
5,3,204.7022408968745,12.0,10.0,6.0,6.0,8.0,-29.05170865376407,4.8035732951771895
19,1,286.27106063670925,5.0,12.0,10.0,6.0,6.0,-27.969202940191373,1.3754303650119404
9,2,294.488256667718,19.0,5.0,12.0,10.0,6.0,-26.88669722661869,-0.7898920523328109
8,3,265.3044797036781,9.0,19.0,5.0,12.0,10.0,-25.804191513045996,1.3011957867327022
29,2,174.03377815168446,8.0,9.0,19.0,5.0,12.0,-24.721685799473306,5.369847728362322
9,4,272.1721601004583,29.0,8.0,9.0,19.0,5.0,-23.639180085900605,1.9384996699919324
7,2,343.74132623942324,9.0,29.0,8.0,9.0,19.0,-22.55667437232793,-12.816566337096393
3,4,291.0480789590852,7.0,9.0,29.0,8.0,9.0,-21.474168658755232,-10.741504139056527
4,4,159.08227711159182,3.0,7.0,9.0,29.0,8.0,-20.39166294518255,-12.124775274349986
12,2,216.76438695832738,4.0,3.0,7.0,9.0,29.0,-19.30915723160985,-12.568943845540886
4,3,155.21691544524538,12.0,4.0,3.0,7.0,9.0,-18.22665151803717,-10.38811241673178
7,3,187.4942119712016,4.0,12.0,4.0,3.0,7.0,-17.144145804464475,-17.540614321256008
3,3,233.25704472194283,7.0,4.0,12.0,4.0,3.0,-16.061640090891782,-14.388629046293065
8,3,187.29112172943826,3.0,7.0,4.0,12.0,4.0,-14.979134377319093,-19.624464284150623
10,1,196.81623481867055,8.0,3.0,7.0,4.0,12.0,-13.896628663746402,-13.847479009187676
11,2,243.04062536849202,10.0,8.0,3.0,7.0,4.0,-12.814122950173712,-14.807673221404213
12,2,404.91886144196786,11.0,10.0,8.0,3.0,7.0,-11.73161723660102,-17.049918715672042
10,3,209.32060217530037,12.0,11.0,10.0,8.0,3.0,-10.649111523028331,-12.074215491991145
4,1,147.42485303268788,10.0,12.0,11.0,10.0,8.0,-9.56660580945564,18.789308244510273
7,2,166.79307191144673,4.0,10.0,12.0,11.0,10.0,-8.484100095882951,3.774626852806552
7,1,137.37682519833885,7.0,4.0,10.0,12.0,11.0,-7.401594382310262,8.163791614948988
3,2,140.48754077511217,7.0,7.0,4.0,10.0,12.0,-6.319088668737571,-0.6613619783628613
12,3,155.94506986717172,3.0,7.0,7.0,4.0,10.0,-5.236582955164881,-13.423979314568305
7,2,298.2069429921869,12.0,3.0,7.0,7.0,4.0,-4.154077241592187,-2.6064684456455467
9,3,139.67325438478147,7.0,12.0,3.0,7.0,7.0,-3.0715715280194966,16.797580884815673
2,1,160.70036123242247,9.0,7.0,12.0,3.0,7.0,9.346153846153848,0.5097621232818108
14,4,179.3079987275705,2.0,9.0,7.0,12.0,3.0,9.26923076923077,-12.077917410963506
8,2,163.36695528913728,14.0,2.0,9.0,7.0,12.0,9.240384615384617,-3.4668789964908715
2,1,159.43086895464594,8.0,14.0,2.0,9.0,7.0,9.163461538461537,-6.432763658941318
7,2,226.75540812776185,2.0,8.0,14.0,2.0,9.0,9.211538461538463,-8.00121242395586
18,2,146.1602631492514,7.0,2.0,8.0,14.0,2.0,9.394230769230768,-6.04081503512425
20,1,180.41576560827042,18.0,7.0,2.0,8.0,14.0,9.394230769230768,-12.30477662065162
0,1,276.47272386661024,20.0,18.0,7.0,2.0,8.0,9.25,5.886389998949222
3,3,139.1459922251779,0.0,20.0,18.0,7.0,2.0,9.278846153846157,-22.303853637860197
11,1,152.04505023034338,3.0,0.0,20.0,18.0,7.0,9.480769230769235,3.813595033022692
13,2,246.6772056028548,11.0,3.0,0.0,20.0,18.0,9.605769230769235,14.87335139621327
14,1,136.31682277886873,13.0,11.0,3.0,0.0,20.0,9.634615384615387,20.282466733762824
4,1,253.44086610736613,14.0,13.0,11.0,3.0,0.0,9.663461538461544,18.050556430286747
10,2,257.6468447681421,4.0,14.0,13.0,11.0,3.0,9.653846153846157,21.107107665272192
24,3,186.87088419911237,10.0,4.0,14.0,13.0,11.0,9.615384615384619,17.807889669488418
12,1,274.94788852869914,24.0,10.0,4.0,14.0,13.0,9.557692307692312,20.48303064806361
5,3,137.09312145742055,12.0,24.0,10.0,4.0,14.0,9.500000000000002,22.48829983176702
20,1,172.3259357748943,5.0,12.0,24.0,10.0,4.0,9.490384615384617,1.8781844000858052
9,2,285.6871746826183,20.0,5.0,12.0,24.0,10.0,9.442307692307693,-0.10693103159541197
7,2,495.2882125540938,9.0,20.0,5.0,12.0,24.0,10.355769230769226,15.520133023902867
13,4,332.09030297819413,7.0,9.0,20.0,5.0,12.0,12.115384615384615,11.176043233247292
7,2,248.35054791827682,13.0,7.0,9.0,20.0,5.0,13.682692307692307,79.4761842118225
0,1,561.4532172606861,7.0,13.0,7.0,9.0,20.0,15.25,-20.77936805094929
2,1,420.0155329557245,0.0,7.0,13.0,7.0,9.0,16.78846153846154,-0.23609882018006798
24,1,373.68156357895623,2.0,0.0,7.0,13.0,7.0,17.798076923076927,-13.389944974026214
2,2,257.8005248936521,24.0,2.0,0.0,7.0,13.0,19.125000000000004,-17.293791127872367
12,3,326.56035948676515,2.0,24.0,2.0,0.0,7.0,21.06730769230769,-7.777899159272933
2,1,149.5321143636963,12.0,2.0,24.0,2.0,0.0,22.82692307692308,4.8035732951771895
14,2,440.2742787602143,2.0,12.0,2.0,24.0,2.0,24.336538461538463,1.3754303650119404
19,2,554.3660717559613,14.0,2.0,12.0,2.0,24.0,25.663461538461537,-0.7898920523328109
17,1,682.1520523495877,19.0,14.0,2.0,12.0,2.0,27.009615384615394,1.3011957867327022
20,1,303.8131549129461,17.0,19.0,14.0,2.0,12.0,28.365384615384606,5.369847728362322
3,3,298.17619981454703,20.0,17.0,19.0,14.0,2.0,29.673076923076927,1.9384996699919324
16,2,423.2912271239933,3.0,20.0,17.0,19.0,14.0,31.009615384615387,-12.816566337096393
15,1,246.4975965335192,16.0,3.0,20.0,17.0,19.0,32.096153846153854,-10.741504139056527
5,1,342.4292332945135,15.0,16.0,3.0,20.0,17.0,33.269230769230774,-12.124775274349986
14,2,234.14962279554803,5.0,15.0,16.0,3.0,20.0,35.04807692307693,-12.568943845540886
5,3,332.71173667702703,14.0,5.0,15.0,16.0,3.0,36.92307692307692,-10.38811241673178
5,3,149.19325503302005,5.0,14.0,5.0,15.0,16.0,38.83653846153846,-17.540614321256008
1,3,265.90064407708246,5.0,5.0,14.0,5.0,15.0,40.980769230769226,-14.388629046293065
