date,demand,civilians_rank,distance
2014-02-11,45,2,186.43526517277485
2014-02-18,59,3,181.55742689909763
2014-02-25,54,1,263.392347974706
2014-03-04,34,2,277.10359385370367
2014-03-11,54,3,248.01479352285432
2014-03-18,48,2,157.92623268711583
2014-03-25,76,4,257.817279482238
2014-04-01,45,2,329.26301704747834
2014-04-08,59,4,285.5165397063073
2014-04-15,46,4,156.34774483563137
2014-04-22,66,2,211.09091637462063
2014-04-29,45,3,144.512714366764
2014-05-06,35,3,180.22726773569332
2014-05-13,42,3,230.27464388098664
2014-05-20,62,3,169.8745938593517
2014-05-27,42,1,176.8631885734666
2014-06-03,49,2,232.11952042456716
2014-06-10,41,2,398.12420355153574
2014-06-17,37,3,208.4436685556848
2014-06-24,44,1,151.89446655709568
2014-07-01,48,2,162.8816983486657
2014-07-08,40,1,141.9443609098556
2014-07-15,39,2,140.420895478268
2014-07-22,35,3,147.52670643127001
2014-07-29,29,2,294.0767818932507
2014-08-05,30,3,140.30938835006742
2014-08-12,66,1,147.72537301503448
2014-08-19,48,4,164.92997875385663
2014-08-26,44,2,151.93731121128332
2014-09-02,45,1,149.16119185994813
2014-09-09,31,2,216.67776898409556
2014-09-16,41,2,135.32577063195959
2014-09-23,29,1,169.62627738948876
2014-09-30,48,1,263.89250020465084
2014-10-07,21,3,128.52077614999587
2014-10-14,45,1,147.3543433336823
2014-10-21,23,2,244.44156065939887
2014-10-28,39,1,127.80122864757334
2014-11-04,30,1,244.582438204952
2014-11-11,35,2,247.29137080029238
2014-11-18,39,3,183.148415771314
2014-11-25,46,1,269.54253763020483
2014-12-02,30,3,137.09378685065437
2014-12-09,24,1,172.36733261652537
2014-12-16,27,2,274.01678826786844
2014-12-23,32,2,495.8699226951202
2014-12-30,37,4,327.19062223784437
2015-01-06,20,2,243.04366444330762
2015-01-13,13,1,532.5640666321978
2015-01-20,39,1,398.0549685709452
2015-01-27,43,1,357.3140855152916
2015-02-03,48,2,248.08535369829758
2015-02-10,52,3,329.90649829564273
2015-02-17,7,1,143.27778209209572
2015-02-24,36,2,437.928780015276
2015-03-03,39,2,543.890244487772
2015-03-10,43,1,676.429951648845
2015-03-17,37,1,289.4455708326017
2015-03-24,39,3,293.8561287895166
2015-03-31,40,2,406.24290334188566
2015-04-07,30,1,249.80694004045944
2015-04-14,40,1,339.2408266600142
2015-04-21,50,2,235.8041949035175
2015-04-28,30,3,334.6220287735815
2015-05-05,13,3,147.7523274445889
2015-05-12,20,3,260.7197065295859
2015-05-19,40,1,160.72669000091332
2015-05-26,23,3,416.49747286204354
2015-06-02,29,1,504.73709285072374
2015-06-09,30,2,147.8564842497624
2015-06-16,18,3,248.16637839808118
2015-06-23,22,1,284.6151630807675
2015-06-30,8,4,366.3959753678413
2015-07-07,16,1,398.784088038704
2015-07-14,11,1,255.43835894038497
2015-07-21,3,1,164.44523865453291
2015-07-28,22,2,165.34012215829915
2015-08-04,12,3,226.20350221911065
2015-08-11,28,2,338.1664309546827
2015-08-18,15,3,241.9945633346221
2015-08-25,29,2,166.71196639574237
2015-09-01,17,1,155.89001013322988
2015-09-08,17,1,150.36836691986392
2015-09-15,7,1,119.73695048369845
2015-09-22,23,2,117.56951795130188
2015-09-29,4,1,119.9405160641516
2015-10-06,28,2,166.95558448410063
2015-10-13,51,2,153.81295664374167
2015-10-20,27,3,148.7848177555266
2015-10-27,32,2,156.9651965226074
2015-11-03,21,3,282.84526519091037
2015-11-10,44,4,274.86205506012084
2015-11-17,50,3,319.4314017725323
2015-11-24,46,3,233.7686641936492
2015-12-01,36,3,177.95138626393563
2015-12-08,54,2,263.5010994303953
2015-12-15,37,4,235.7568737112083
2015-12-22,56,3,287.8915796600832
2015-12-29,74,2,245.01578608483214
2016-01-05,54,1,206.63900622114681
2016-01-12,35,3,261.3550678200407
2016-01-19,64,1,287.03585469537586
2016-01-26,47,2,235.13062609889855
2016-02-02,53,3,552.1806749254147
2016-02-09,31,3,329.1364949280054
2016-02-16,21,2,250.36485208349444
2016-02-23,27,2,345.0780772957265
2016-03-01,16,3,328.67799948553056
2016-03-08,12,1,314.8217189645772
2016-03-15,18,1,187.83679965065738
2016-03-22,29,1,391.95256049918856
2016-03-29,35,1,350.38261901263513
2016-04-05,32,1,440.6501573233557
2016-04-12,49,1,203.54175381900436
2016-04-19,25,4,298.41944566876236
2016-04-26,35,4,286.86605323058114
2016-05-03,53,4,269.4393617719913
2016-05-10,24,3,337.28538930397275
2016-05-17,40,3,246.00093016376846
2016-05-24,31,4,304.03056532028864
2016-05-31,39,4,186.44626581374862
2016-06-07,41,4,299.4909135289364
2016-06-14,21,4,311.05292367801707
2016-06-21,22,4,250.21719197175858
2016-06-28,35,4,190.6607217977681
2016-07-05,23,4,248.1869542884468
2016-07-12,14,4,203.85807397795867
2016-07-19,42,4,203.1415835957333
2016-07-26,52,4,188.1946382345801
2016-08-02,29,4,198.84217082760918
2016-08-09,29,4,195.35900217049183
2016-08-16,55,4,206.70080320383812
2016-08-23,44,4,366.03849416869264
2016-08-30,33,4,175.79121628399915
2016-09-06,28,4,176.49892546568225
2016-09-13,33,4,179.12926643453048
2016-09-20,34,4,289.3895129962328
2016-09-27,66,4,307.54904020174666
2016-10-04,50,4,185.25333005055265
2016-10-11,60,4,186.942618383218
2016-10-18,52,4,176.60183126047497
2016-10-25,50,3,186.56891136829518
2016-11-01,33,3,174.81304200561692
2016-11-08,35,4,237.25247938910383
2016-11-15,26,4,173.01701033691631
2016-11-22,40,4,173.6872849994055
2016-11-29,53,4,172.73441365359787
2016-12-06,40,4,190.5660568249821
2016-12-13,36,4,196.6425361804014
2016-12-20,44,1,198.64353819461132
2016-12-27,45,3,163.31881767666232
2017-01-03,33,2,194.8470083057963
