date,demand,civilians_rank,distance
2014-02-04,39,1,162.7586994435919
2014-02-11,48,2,186.43526517277485
2014-02-18,46,3,181.55742689909763
2014-02-25,45,1,263.392347974706
2014-03-04,31,2,277.10359385370367
2014-03-11,33,3,248.01479352285432
2014-03-18,51,2,157.92623268711583
2014-03-25,47,4,257.817279482238
2014-04-01,58,2,329.26301704747834
2014-04-08,44,4,285.5165397063073
2014-04-15,52,4,156.34774483563137
2014-04-22,60,2,211.09091637462063
2014-04-29,61,3,144.512714366764
2014-05-06,42,3,180.22726773569332
2014-05-13,48,3,230.27464388098664
2014-05-20,60,3,169.8745938593517
2014-05-27,51,1,176.8631885734666
2014-06-03,61,2,232.11952042456716
2014-06-10,56,2,398.12420355153574
2014-06-17,62,3,208.4436685556848
2014-06-24,61,1,151.89446655709568
2014-07-01,36,2,162.8816983486657
2014-07-08,50,1,141.9443609098556
2014-07-15,26,2,140.420895478268
2014-07-22,40,3,147.52670643127001
2014-07-29,18,2,294.0767818932507
2014-08-05,51,3,140.30938835006742
2014-08-12,38,1,147.72537301503448
2014-08-19,41,4,164.92997875385663
2014-08-26,48,2,151.93731121128332
2014-09-02,32,1,149.16119185994813
2014-09-09,51,2,216.67776898409556
2014-09-16,36,2,135.32577063195959
2014-09-23,36,1,169.62627738948876
2014-09-30,42,1,263.89250020465084
2014-10-07,23,3,128.52077614999587
2014-10-14,60,1,147.3543433336823
2014-10-21,47,2,244.44156065939887
2014-10-28,37,1,127.80122864757334
2014-11-04,50,1,244.582438204952
2014-11-11,50,2,247.29137080029238
2014-11-18,87,3,183.148415771314
2014-11-25,43,1,269.54253763020483
2014-12-02,53,3,137.09378685065437
2014-12-09,28,1,172.36733261652537
2014-12-16,44,2,274.01678826786844
2014-12-23,28,2,495.8699226951202
2014-12-30,44,4,327.19062223784437
2015-01-06,10,2,243.04366444330762
2015-01-13,38,1,532.5640666321978
2015-01-20,29,1,398.0549685709452
2015-01-27,48,1,357.3140855152916
2015-02-03,40,2,248.08535369829758
2015-02-10,36,3,329.90649829564273
2015-02-17,34,1,143.27778209209572
2015-02-24,48,2,437.928780015276
2015-03-03,44,2,543.890244487772
2015-03-10,16,1,676.429951648845
2015-03-17,66,1,289.4455708326017
2015-03-24,51,3,293.8561287895166
2015-03-31,30,2,406.24290334188566
2015-04-07,65,1,249.80694004045944
2015-04-14,67,1,339.2408266600142
2015-04-21,38,2,235.8041949035175
2015-04-28,35,3,334.6220287735815
2015-05-05,65,3,147.7523274445889
2015-05-12,54,3,260.7197065295859
2015-05-19,44,1,160.72669000091332
2015-05-26,47,3,416.49747286204354
2015-06-02,50,1,504.73709285072374
2015-06-09,64,2,147.8564842497624
2015-06-16,74,3,248.16637839808118
2015-06-23,39,1,284.6151630807675
2015-06-30,40,4,366.3959753678413
2015-07-07,29,1,398.784088038704
2015-07-14,11,1,255.43835894038497
2015-07-21,24,1,164.44523865453291
2015-07-28,68,2,165.34012215829915
2015-08-04,58,3,226.20350221911065
2015-08-11,37,2,338.1664309546827
2015-08-18,60,3,241.9945633346221
2015-08-25,41,2,166.71196639574237
2015-09-01,47,1,155.89001013322988
2015-09-08,56,1,150.36836691986392
2015-09-15,51,1,119.73695048369845
2015-09-22,62,2,117.56951795130188
2015-09-29,22,1,119.9405160641516
2015-10-06,63,2,166.95558448410063
2015-10-13,53,2,153.81295664374167
2015-10-20,67,3,148.7848177555266
2015-10-27,74,2,156.9651965226074
2015-11-03,64,3,282.84526519091037
2015-11-10,68,4,274.86205506012084
2015-11-17,54,3,319.4314017725323
2015-11-24,53,3,233.7686641936492
2015-12-01,60,3,177.95138626393563
2015-12-08,67,2,263.5010994303953
2015-12-15,74,4,235.7568737112083
2015-12-22,55,3,287.8915796600832
2015-12-29,52,2,245.01578608483214
2016-01-05,49,1,206.63900622114681
2016-01-12,45,3,261.3550678200407
2016-01-19,62,1,287.03585469537586
2016-01-26,71,2,235.13062609889855
2016-02-02,63,3,552.1806749254147
2016-02-09,36,3,329.1364949280054
2016-02-16,23,2,250.36485208349444
2016-02-23,19,2,345.0780772957265
2016-03-01,22,3,328.67799948553056
2016-03-08,32,1,314.8217189645772
2016-03-15,38,1,187.83679965065738
2016-03-22,64,1,391.95256049918856
2016-03-29,54,1,350.38261901263513
2016-04-05,54,1,440.6501573233557
2016-04-12,76,1,203.54175381900436
2016-04-19,74,4,298.41944566876236
2016-04-26,74,4,286.86605323058114
2016-05-03,79,4,269.4393617719913
2016-05-10,57,3,337.28538930397275
2016-05-17,80,3,246.00093016376846
2016-05-24,88,4,304.03056532028864
2016-05-31,75,4,186.44626581374862
2016-06-07,78,4,299.4909135289364
2016-06-14,24,4,311.05292367801707
2016-06-21,57,4,250.21719197175858
2016-06-28,59,4,190.6607217977681
2016-07-05,35,4,248.1869542884468
2016-07-12,31,4,203.85807397795867
2016-07-19,112,4,203.1415835957333
2016-07-26,107,4,188.1946382345801
2016-08-02,81,4,198.84217082760918
2016-08-09,83,4,195.35900217049183
2016-08-16,67,4,206.70080320383812
2016-08-23,92,4,366.03849416869264
2016-08-30,72,4,175.79121628399915
2016-09-06,53,4,176.49892546568225
2016-09-13,26,4,179.12926643453048
2016-09-20,37,4,289.3895129962328
2016-09-27,61,4,307.54904020174666
2016-10-04,77,4,185.25333005055265
2016-10-11,83,4,186.942618383218
2016-10-18,69,4,176.60183126047497
2016-10-25,70,3,186.56891136829518
2016-11-01,44,3,174.81304200561692
2016-11-08,59,4,237.25247938910383
2016-11-15,62,4,173.01701033691631
2016-11-22,41,4,173.6872849994055
2016-11-29,60,4,172.73441365359787
2016-12-06,41,4,190.5660568249821
2016-12-13,37,4,196.6425361804014
2016-12-20,52,1,198.64353819461132
2016-12-27,48,3,163.31881767666232
2017-01-03,27,2,194.8470083057963
