date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,12,2,10.0,6.0,6.0,8.0,12.0,-30.13421436733676,-7.777899159272933
2014-02-18,5,3,12.0,10.0,6.0,6.0,8.0,-29.05170865376407,4.8035732951771895
2014-02-25,19,1,5.0,12.0,10.0,6.0,6.0,-27.969202940191373,1.3754303650119404
2014-03-04,9,2,19.0,5.0,12.0,10.0,6.0,-26.88669722661869,-0.7898920523328109
2014-03-11,8,3,9.0,19.0,5.0,12.0,10.0,-25.804191513045996,1.3011957867327022
2014-03-18,29,2,8.0,9.0,19.0,5.0,12.0,-24.721685799473306,5.369847728362322
2014-03-25,9,4,29.0,8.0,9.0,19.0,5.0,-23.639180085900605,1.9384996699919324
2014-04-01,7,2,9.0,29.0,8.0,9.0,19.0,-22.55667437232793,-12.816566337096393
2014-04-08,3,4,7.0,9.0,29.0,8.0,9.0,-21.474168658755232,-10.741504139056527
2014-04-15,4,4,3.0,7.0,9.0,29.0,8.0,-20.39166294518255,-12.124775274349986
2014-04-22,12,2,4.0,3.0,7.0,9.0,29.0,-19.30915723160985,-12.568943845540886
2014-04-29,4,3,12.0,4.0,3.0,7.0,9.0,-18.22665151803717,-10.38811241673178
2014-05-06,7,3,4.0,12.0,4.0,3.0,7.0,-17.144145804464475,-17.540614321256008
2014-05-13,3,3,7.0,4.0,12.0,4.0,3.0,-16.061640090891782,-14.388629046293065
2014-05-20,8,3,3.0,7.0,4.0,12.0,4.0,-14.979134377319093,-19.624464284150623
2014-05-27,10,1,8.0,3.0,7.0,4.0,12.0,-13.896628663746402,-13.847479009187676
2014-06-03,11,2,10.0,8.0,3.0,7.0,4.0,-12.814122950173712,-14.807673221404213
2014-06-10,12,2,11.0,10.0,8.0,3.0,7.0,-11.73161723660102,-17.049918715672042
2014-06-17,10,3,12.0,11.0,10.0,8.0,3.0,-10.649111523028331,-12.074215491991145
2014-06-24,4,1,10.0,12.0,11.0,10.0,8.0,-9.56660580945564,18.789308244510273
2014-07-01,7,2,4.0,10.0,12.0,11.0,10.0,-8.484100095882951,3.774626852806552
2014-07-08,7,1,7.0,4.0,10.0,12.0,11.0,-7.401594382310262,8.163791614948988
2014-07-15,3,2,7.0,7.0,4.0,10.0,12.0,-6.319088668737571,-0.6613619783628613
2014-07-22,12,3,3.0,7.0,7.0,4.0,10.0,-5.236582955164881,-13.423979314568305
